Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65
United States,0.247,0.094,0.120,0.271,0.127,0.141
Alabama,0.248,0.094,0.113,0.265,0.131,0.149
Alaska,0.272,0.107,0.136,0.265,0.126,0.094
Arizona,0.258,0.095,0.119,0.252,0.120,0.155
Arkansas,0.255,0.089,0.118,0.259,0.127,0.153
California,0.253,0.102,0.129,0.273,0.116,0.126
Colorado,0.251,0.095,0.130,0.275,0.127,0.123
Connecticut,0.235,0.082,0.111,0.286,0.137,0.150
Delaware,0.235,0.087,0.117,0.271,0.133,0.158
District of Columbia,0.187,0.113,0.207,0.266,0.111,0.116
Florida,0.219,0.089,0.109,0.265,0.131,0.187
Georgia,0.267,0.094,0.119,0.281,0.118,0.120
Hawaii,0.236,0.090,0.121,0.258,0.133,0.162
Idaho,0.280,0.093,0.116,0.250,0.123,0.139
Illinois,0.248,0.094,0.125,0.275,0.125,0.133
Indiana,0.257,0.092,0.115,0.269,0.129,0.138
Iowa,0.250,0.091,0.115,0.258,0.134,0.152
Kansas,0.265,0.094,0.120,0.254,0.127,0.139
Kentucky,0.245,0.092,0.114,0.272,0.133,0.144
Louisiana,0.257,0.100,0.126,0.258,0.128,0.131
Maine,0.206,0.080,0.100,0.280,0.158,0.176
Maryland,0.241,0.088,0.123,0.284,0.129,0.133
Massachusetts,0.223,0.091,0.122,0.283,0.133,0.148
Michigan,0.240,0.096,0.107,0.270,0.139,0.149
Minnesota,0.249,0.087,0.125,0.271,0.131,0.138
Mississippi,0.265,0.096,0.113,0.260,0.127,0.139
Missouri,0.244,0.093,0.119,0.264,0.131,0.149
Montana,0.234,0.092,0.111,0.250,0.150,0.162
Nebraska,0.264,0.093,0.123,0.254,0.127,0.140
Nevada,0.250,0.091,0.126,0.273,0.122,0.137
New Hampshire,0.219,0.082,0.104,0.293,0.150,0.152
New Jersey,0.242,0.084,0.114,0.289,0.128,0.143
New Mexico,0.260,0.096,0.115,0.250,0.130,0.149
New York,0.229,0.096,0.128,0.277,0.128,0.143
North Carolina,0.248,0.091,0.114,0.277,0.127,0.143
North Dakota,0.236,0.124,0.122,0.246,0.132,0.140
Ohio,0.242,0.089,0.113,0.269,0.137,0.150
Oklahoma,0.262,0.096,0.122,0.255,0.123,0.141
Oregon,0.229,0.091,0.121,0.266,0.139,0.154
Pennsylvania,0.226,0.089,0.112,0.270,0.140,0.163
Rhode Island,0.217,0.099,0.116,0.277,0.138,0.154
South Carolina,0.242,0.094,0.112,0.266,0.133,0.153
South Dakota,0.256,0.092,0.120,0.254,0.134,0.145
Tennessee,0.244,0.092,0.116,0.272,0.131,0.146
Texas,0.283,0.099,0.128,0.268,0.110,0.112
Utah,0.326,0.110,0.137,0.237,0.093,0.098
Vermont,0.215,0.079,0.106,0.279,0.156,0.167
Virginia,0.243,0.090,0.122,0.281,0.128,0.136
Washington,0.241,0.091,0.128,0.272,0.131,0.137
West Virginia,0.217,0.087,0.106,0.267,0.151,0.173
Wisconsin,0.241,0.089,0.116,0.271,0.136,0.147
Wyoming,0.251,0.097,0.131,0.248,0.140,0.133
Puerto Rico,0.242,0.101,0.109,0.261,0.121,0.165
