Location,Male,Female
United States,0.489,0.511
Alabama,0.481,0.519
Alaska,0.513,0.487
Arizona,0.492,0.508
Arkansas,0.491,0.509
California,0.494,0.506
Colorado,0.498,0.502
Connecticut,0.486,0.514
Delaware,0.482,0.518
District of Columbia,0.468,0.532
Florida,0.485,0.515
Georgia,0.483,0.517
Hawaii,0.489,0.511
Idaho,0.499,0.501
Illinois,0.489,0.511
Indiana,0.489,0.511
Iowa,0.494,0.506
Kansas,0.494,0.506
Kentucky,0.489,0.511
Louisiana,0.482,0.518
Maine,0.488,0.512
Maryland,0.483,0.517
Massachusetts,0.484,0.516
Michigan,0.489,0.511
Minnesota,0.493,0.507
Mississippi,0.480,0.520
Missouri,0.487,0.513
Montana,0.497,0.503
Nebraska,0.494,0.506
Nevada,0.499,0.501
New Hampshire,0.491,0.509
New Jersey,0.486,0.515
New Mexico,0.492,0.508
New York,0.484,0.516
North Carolina,0.482,0.518
North Dakota,0.507,0.493
Ohio,0.487,0.513
Oklahoma,0.490,0.510
Oregon,0.493,0.507
Pennsylvania,0.486,0.514
Rhode Island,0.490,0.510
South Carolina,0.480,0.520
South Dakota,0.502,0.498
Tennessee,0.486,0.514
Texas,0.492,0.508
Utah,0.502,0.498
Vermont,0.493,0.507
Virginia,0.484,0.516
Washington,0.496,0.504
West Virginia,0.491,0.509
Wisconsin,0.495,0.505
Wyoming,0.504,0.496
Puerto Rico,0.476,0.524
