Location,Total
United States,2.43
Alabama,3.13
Alaska,2.23
Arizona,1.93
Arkansas,3.16
California,1.84
Colorado,1.86
Connecticut,2.01
Delaware,2.18
District of Columbia,4.44
Florida,2.58
Georgia,2.39
Hawaii,1.94
Idaho,1.94
Illinois,2.52
Indiana,2.71
Iowa,2.99
Kansas,3.32
Kentucky,3.21
Louisiana,3.28
Maine,2.54
Maryland,1.92
Massachusetts,2.27
Michigan,2.5
Minnesota,2.48
Mississippi,4.05
Missouri,3.06
Montana,3.34
Nebraska,3.55
Nevada,2.14
New Hampshire,2.06
New Jersey,2.35
New Mexico,1.82
New York,2.66
North Carolina,2.08
North Dakota,4.27
Ohio,2.84
Oklahoma,2.83
Oregon,1.65
Pennsylvania,2.87
Rhode Island,2.07
South Carolina,2.38
South Dakota,4.76
Tennessee,2.86
Texas,2.29
Utah,1.83
Vermont,2.09
Virginia,2.12
Washington,1.7
West Virginia,3.81
Wisconsin,2.08
Wyoming,3.49
