Location,White,Black,Hispanic,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Multiple Races
United States,0.603,0.121,0.184,0.056,0.010,<.01,0.028
Alabama,0.656,0.265,0.043,0.013,<.01,N/A,0.019
Alaska,0.601,0.029,0.071,0.061,0.156,0.011,0.072
Arizona,0.545,0.042,0.316,0.032,0.039,<.01,0.024
Arkansas,0.722,0.150,0.077,0.015,0.010,<.01,0.027
California,0.367,0.054,0.394,0.146,<.01,<.01,0.033
Colorado,0.680,0.038,0.216,0.032,<.01,<.01,0.028
Connecticut,0.663,0.099,0.166,0.047,<.01,N/A,0.024
Delaware,0.621,0.213,0.095,0.042,<.01,N/A,0.025
District of Columbia,0.367,0.449,0.113,0.036,N/A,N/A,0.034
Florida,0.533,0.151,0.263,0.027,<.01,<.01,0.024
Georgia,0.525,0.309,0.097,0.041,<.01,<.01,0.025
Hawaii,0.206,0.015,0.105,0.379,N/A,0.096,0.199
Idaho,0.819,0.005,0.127,0.016,0.011,N/A,0.022
Illinois,0.610,0.136,0.175,0.056,<.01,<.01,0.022
Indiana,0.790,0.093,0.071,0.023,<.01,N/A,0.022
Iowa,0.855,0.034,0.061,0.026,<.01,N/A,0.020
Kansas,0.760,0.054,0.120,0.028,0.010,N/A,0.032
Kentucky,0.848,0.076,0.036,0.015,<.01,N/A,0.023
Louisiana,0.588,0.316,0.051,0.016,0.010,N/A,0.023
Maine,0.934,0.013,0.015,0.013,<.01,N/A,0.021
Maryland,0.503,0.293,0.105,0.064,<.01,N/A,0.034
Massachusetts,0.708,0.070,0.124,0.067,<.01,N/A,0.029
Michigan,0.750,0.135,0.052,0.032,<.01,N/A,0.026
Minnesota,0.796,0.065,0.054,0.047,0.010,N/A,0.028
Mississippi,0.567,0.377,0.028,0.009,<.01,N/A,0.014
Missouri,0.795,0.113,0.041,0.020,<.01,<.01,0.026
Montana,0.861,<.01,0.039,0.007,0.058,N/A,0.031
Nebraska,0.787,0.044,0.111,0.023,0.010,N/A,0.029
Nevada,0.485,0.087,0.291,0.081,0.010,0.010,0.041
New Hampshire,0.902,0.011,0.038,0.028,N/A,N/A,0.018
New Jersey,0.547,0.126,0.208,0.097,<.01,N/A,0.021
New Mexico,0.369,0.018,0.491,0.015,0.089,N/A,0.017
New York,0.553,0.141,0.193,0.085,<.01,N/A,0.026
North Carolina,0.629,0.209,0.096,0.029,0.010,<.01,0.027
North Dakota,0.839,0.030,0.035,0.020,0.051,N/A,0.024
Ohio,0.788,0.121,0.038,0.023,<.01,N/A,0.028
Oklahoma,0.653,0.070,0.109,0.021,0.076,<.01,0.072
Oregon,0.752,0.018,0.133,0.046,0.010,<.01,0.038
Pennsylvania,0.763,0.103,0.076,0.035,<.01,N/A,0.022
Rhode Island,0.715,0.056,0.160,0.034,N/A,N/A,0.031
South Carolina,0.638,0.263,0.058,0.016,<.01,N/A,0.022
South Dakota,0.816,0.022,0.038,0.013,0.086,N/A,0.025
Tennessee,0.738,0.165,0.055,0.017,<.01,N/A,0.022
Texas,0.414,0.116,0.398,0.050,<.01,<.01,0.019
Utah,0.780,0.012,0.141,0.023,0.010,0.010,0.026
Vermont,0.929,0.011,0.018,0.019,<.01,N/A,0.019
Virginia,0.615,0.186,0.095,0.066,<.01,<.01,0.036
Washington,0.679,0.037,0.129,0.088,0.011,0.010,0.050
West Virginia,0.925,0.036,0.013,0.008,<.01,N/A,0.018
Wisconsin,0.812,0.062,0.070,0.028,0.010,<.01,0.021
Wyoming,0.842,0.005,0.100,0.011,0.023,N/A,0.020
Puerto Rico,0.010,<.01,0.987,N/A,N/A,N/A,<.01
