stname,statefips, stusps,2013,2018
Alabama,1, AL,18.7,16.8
Alaska,2, AK,9.3,10.9
Arizona,4, AZ,18.6,14.0
Arkansas,5, AR,19.7,17.2
California,6, CA,16.8,12.8
Colorado,8, CO,13.0,9.6
Connecticut,9, CT,10.7,10.4
Delaware,10, DE,12.4,12.5
District of Columbia,11, DC,18.9,16.2
Florida,12, FL,17.0,13.6
Georgia,13, GA,19.0,14.3
Hawaii,15, HI,10.8,8.8
Idaho,16, ID,15.6,11.8
Illinois,17, IL,14.7,12.1
Indiana,18, IN,15.9,13.1
Iowa,19, IA,12.7,11.2
Kansas,20, KS,14.0,12.0
Kentucky,21, KY,18.8,16.9
Louisiana,22, LA,19.8,18.6
Maine,23, ME,14.0,11.6
Maryland,24, MD,10.1,9.0
Massachusetts,25, MA,11.9,10.0
Michigan,26, MI,17.0,14.1
Minnesota,27, MN,11.2,9.6
Mississippi,28, MS,24.0,19.7
Missouri,29, MO,15.9,13.2
Montana,30, MT,16.5,13.0
Nebraska,31, NE,13.2,11.0
Nevada,32, NV,15.8,12.9
New Hampshire,33, NH,8.7,7.6
New Jersey,34, NJ,11.4,9.5
New Mexico,35, NM,21.9,19.5
New York,36, NY,16.0,13.6
North Carolina,37, NC,17.9,14.0
North Dakota,38, ND,11.8,10.7
Ohio,39, OH,16.0,13.9
Oklahoma,40, OK,16.8,15.6
Oregon,41, OR,16.7,12.6
Pennsylvania,42, PA,13.7,12.2
Rhode Island,44, RI,14.3,12.9
South Carolina,45, SC,18.6,15.3
South Dakota,46, SD,14.2,13.1
Tennessee,47, TN,17.8,15.3
Texas,48, TX,17.5,14.9
Utah,49, UT,12.7,9.0
Vermont,50, VT,12.3,11.0
Virginia,51, VA,11.7,10.7
Washington,53, WA,14.1,10.3
West Virginia,54, WV,18.5,17.8
Wisconsin,55, WI,13.5,11.0
Wyoming,56, WY,10.9,11.1
