Location,Unemployed
United States,0.072
Alabama,0.064
Alaska,0.066
Arizona,0.080
Arkansas,0.077
California,0.088
Colorado,0.066
Connecticut,0.077
Delaware,0.066
District of Columbia,0.082
Florida,0.069
Georgia,0.080
Hawaii,0.047
Idaho,0.060
Illinois,0.091
Indiana,0.073
Iowa,0.045
Kansas,0.053
Kentucky,0.083
Louisiana,0.060
Maine,0.066
Maryland,0.065
Massachusetts,0.072
Michigan,0.088
Minnesota,0.049
Mississippi,0.084
Missouri,0.064
Montana,0.056
Nebraska,0.039
Nevada,0.096
New Hampshire,0.052
New Jersey,0.079
New Mexico,0.069
New York,0.075
North Carolina,0.077
North Dakota,0.028
Ohio,0.074
Oklahoma,0.056
Oregon,0.076
Pennsylvania,0.073
Rhode Island,0.095
South Carolina,0.073
South Dakota,0.037
Tennessee,0.082
Texas,0.063
Utah,0.043
Vermont,0.045
Virginia,0.055
Washington,0.069
West Virginia,0.064
Wisconsin,0.066
Wyoming,0.046
Puerto Rico,0.146
